-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                threading.py(359): wait         0.00%       2.976us        33.34%     134.106ms     134.106ms       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(1010): run         0.00%       1.437us        66.67%     268.195ms     134.098ms       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/executor/multiproc_executor.py(802): death_p...         0.00%       2.382us        33.33%     134.101ms     134.101ms       0.000us         0.00%       0.000us       0.000us             1  
               multiprocessing/connection.py(250): recv         0.00%       0.839us        33.33%     134.099ms     134.099ms       0.000us         0.00%       0.000us       0.000us             1  
        multiprocessing/connection.py(430): _recv_bytes         0.00%       0.460us        33.33%     134.098ms     134.098ms       0.000us         0.00%       0.000us       0.000us             1  
              multiprocessing/connection.py(395): _recv        33.33%     134.097ms        33.33%     134.097ms     134.097ms       0.000us         0.00%       0.000us       0.000us             1  
vllm/v1/executor/multiproc_executor.py(994): async_o...         0.00%       8.667us        33.33%     134.093ms     134.093ms       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      19.940us         0.18%     721.553us     721.553us       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(355): wait         0.16%     628.838us         0.17%     673.953us     673.953us       0.000us         0.00%       0.000us       0.000us             1  
                                  <string>(1): <module>         0.00%       1.268us        33.33%     134.085ms     134.085ms       0.000us         0.00%     819.914us     819.914us             1  
              multiprocessing/spawn.py(122): spawn_main         0.00%       1.531us        33.33%     134.084ms     134.084ms       0.000us         0.00%     819.914us     819.914us             1  
                   multiprocessing/spawn.py(135): _main         0.00%       1.251us        33.33%     134.082ms     134.082ms       0.000us         0.00%     819.914us     819.914us             1  
            multiprocessing/process.py(314): _bootstrap         0.00%       2.464us        33.33%     134.081ms     134.081ms       0.000us         0.00%     819.914us     819.914us             1  
                   multiprocessing/process.py(108): run         0.00%       1.901us        33.33%     134.079ms     134.079ms       0.000us         0.00%     819.914us     819.914us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 402.291ms
Self CUDA time total: 32.768ms

